fiidex,fi_cycle,fi_bit,opcode,error_type
3480,1008073296,47,load,benign
441,1199157183,118,insertelement,benign
987,1432478026,30,add,SDC
3225,112295073,9,load,benign
1263,461007036,3,load,benign
1114,372589283,29,fneg,benign
998,150063104,26,load,SDC
2517,1671764730,37,load,SDC
510,243372175,82,fmul,benign
403,1456214049,27,fsub,benign
409,82200612,32,fsub,benign
3714,501660905,62,load,SDC
850,509761173,115,fmul,benign
3347,1054330650,81,shufflevector,benign
3491,1620678877,28,add,SDC
2936,1727410026,8,insertelement,benign
4836,879291076,0,fcmp,SDC
3076,1751730688,54,fsub,benign
621,816974510,17,fadd,benign
4093,52970572,43,fadd,benign
2862,1392044198,0,fcmp,SDC
3082,1287864130,18,fadd,benign
808,1760481397,42,phi,SDC
2069,1795933528,10,load,benign
1533,1053165501,50,load,benign
2201,298596162,85,shufflevector,benign
3458,1717123397,19,load,SDC
655,188138578,13,load,benign
1326,1224091910,39,load,SDC
2992,48908865,93,fadd,benign
766,686058835,27,load,benign
965,88768498,36,phi,SDC
644,417425550,0,fmul,benign
3997,102371197,53,sext,SDC
4737,463072157,33,phi,SDC
3498,1631213945,107,load,benign
525,27445173,28,extractelement,benign
3514,448442595,0,icmp,SDC
3561,1305971214,38,fsub,benign
601,1004697041,78,fneg,benign
4008,699545198,20,fmul,benign
670,188294229,40,load,benign
4012,52970114,0,fcmp,benign
3974,105933875,3,load,benign
1144,79074318,32,fadd,benign
646,964255077,4,fmul,benign
816,612125178,0,icmp,benign
2216,1754393566,58,or,benign
3630,215369024,9,load,benign
2032,630771898,41,load,benign
3246,278634209,21,load,benign
988,1832795119,0,icmp,SDC
2409,542661031,44,load,benign
3155,1036357658,26,select,benign
4624,74438166,39,load,benign
1606,1919551190,30,load,benign
3882,1755873513,46,fadd,benign
3079,1600330061,38,fsub,benign
3056,143799806,14,load,benign
407,1197804924,24,fsub,benign
3638,1927897604,28,load,benign
676,1608457190,36,load,SDC
538,230782082,66,insertelement,benign
1191,2022684008,24,load,benign
2545,1802773583,54,load,SDC
4601,1226371453,25,fneg,benign
607,1082273299,37,fmul,benign
3077,882271537,30,fsub,benign
659,1873501905,20,fadd,benign
767,82284010,28,load,benign
4235,353658603,0,icmp,benign
2507,881079582,21,load,benign
653,1111352335,31,fadd,benign
3080,1755367968,42,fadd,benign
1155,68416298,46,fneg,benign
